"Run","Repeat","Configuration","Streams","RequestedSendKiB","RequestedReceiveKiB","SenderElapsedSeconds","SenderMBps","ReceiverElapsedSeconds","ReceiverMBps","ActualSenderSendBufferBytes","ActualSenderReceiveBufferBytes","ActualReceiverSendBufferBytes","ActualReceiverReceiveBufferBytes"
"30","2","streams-4__send-default__recv-default","4","default","default","1,262838","13604,17","1,26403","13591,35","65536","65536","65536","65536"
"31","2","streams-4__send-1024KiB__recv-4096KiB","4","1024","4096","0,726311","23653,61","0,727533","23613,88","1048576","65536","65536","4194304"
"32","2","streams-4__send-4096KiB__recv-1024KiB","4","4096","1024","0,720712","23837,37","0,72194","23796,81","4194304","65536","65536","1048576"
"33","3","streams-4__send-4096KiB__recv-1024KiB","4","4096","1024","0,726467","23648,52","0,727673","23609,34","4194304","65536","65536","1048576"
"34","3","streams-4__send-1024KiB__recv-default","4","1024","default","1,228025","13989,84","1,229432","13973,82","1048576","65536","65536","65536"
"35","3","streams-4__send-default__recv-4096KiB","4","default","4096","0,755195","22748,92","0,756409","22712,41","65536","65536","65536","4194304"
"36","3","streams-4__send-default__recv-256KiB","4","default","256","1,188706","14452,58","1,189935","14437,65","65536","65536","65536","262144"
"37","3","streams-4__send-256KiB__recv-default","4","256","default","1,393018","12332,84","1,394532","12319,45","262144","65536","65536","65536"
"38","3","streams-4__send-4096KiB__recv-4096KiB","4","4096","4096","0,722239","23786,97","0,723445","23747,29","4194304","65536","65536","4194304"
"39","3","streams-4__send-default__recv-default","4","default","default","1,259046","13645,15","1,260255","13632,06","65536","65536","65536","65536"
"40","3","streams-4__send-4096KiB__recv-256KiB","4","4096","256","1,193209","14398,04","1,194416","14383,48","4194304","65536","65536","262144"
"41","3","streams-4__send-256KiB__recv-256KiB","4","256","256","1,305006","13164,59","1,306225","13152,31","262144","65536","65536","262144"
"42","3","streams-4__send-256KiB__recv-1024KiB","4","256","1024","0,796949","21557,06","0,798177","21523,88","262144","65536","65536","1048576"
"43","3","streams-4__send-256KiB__recv-4096KiB","4","256","4096","0,790045","21745,43","0,791252","21712,25","262144","65536","65536","4194304"
"44","3","streams-4__send-1024KiB__recv-1024KiB","4","1024","1024","0,776154","22134,61","0,777395","22099,28","1048576","65536","65536","1048576"
"45","3","streams-4__send-1024KiB__recv-4096KiB","4","1024","4096","0,768534","22354,09","0,769742","22318,99","1048576","65536","65536","4194304"
"46","3","streams-4__send-4096KiB__recv-default","4","4096","default","1,422422","12077,9","1,423604","12067,88","4194304","65536","65536","65536"
"47","3","streams-4__send-default__recv-1024KiB","4","default","1024","0,775508","22153,04","0,777047","22109,18","65536","65536","65536","1048576"
"48","3","streams-4__send-1024KiB__recv-256KiB","4","1024","256","1,168523","14702,21","1,16993","14684,52","1048576","65536","65536","262144"
"49","4","streams-4__send-4096KiB__recv-256KiB","4","4096","256","1,448098","11863,75","1,449278","11854,09","4194304","65536","65536","262144"
"50","4","streams-4__send-1024KiB__recv-1024KiB","4","1024","1024","0,867324","19807,91","0,868549","19779,97","1048576","65536","65536","1048576"
"51","4","streams-4__send-default__recv-1024KiB","4","default","1024","0,754467","22770,86","0,755638","22735,58","65536","65536","65536","1048576"
"52","4","streams-4__send-default__recv-default","4","default","default","1,489141","11536,77","1,490335","11527,52","65536","65536","65536","65536"
"53","4","streams-4__send-256KiB__recv-256KiB","4","256","256","1,155576","14866,93","1,156775","14851,52","262144","65536","65536","262144"
"54","4","streams-4__send-4096KiB__recv-default","4","4096","default","1,65852","10358,55","1,66","10349,32","4194304","65536","65536","65536"
"55","4","streams-4__send-256KiB__recv-default","4","256","default","1,405847","12220,29","1,40735","12207,24","262144","65536","65536","65536"
"56","4","streams-4__send-default__recv-4096KiB","4","default","4096","0,755011","22754,47","0,75624","22717,49","65536","65536","65536","4194304"
"57","4","streams-4__send-4096KiB__recv-1024KiB","4","4096","1024","0,762114","22542,4","0,763344","22506,05","4194304","65536","65536","1048576"
"58","4","streams-4__send-4096KiB__recv-4096KiB","4","4096","4096","0,760662","22585,43","0,761957","22547,02","4194304","65536","65536","4194304"
"59","4","streams-4__send-1024KiB__recv-256KiB","4","1024","256","1,197212","14349,9","1,198533","14334,09","1048576","65536","65536","262144"
"60","4","streams-4__send-256KiB__recv-4096KiB","4","256","4096","0,74607","23027,14","0,747448","22984,7","262144","65536","65536","4194304"
"61","4","streams-4__send-256KiB__recv-1024KiB","4","256","1024","0,748483","22952,92","0,7497","22915,67","262144","65536","65536","1048576"
"62","4","streams-4__send-1024KiB__recv-4096KiB","4","1024","4096","0,769155","22336,04","0,770384","22300,4","1048576","65536","65536","4194304"
"63","4","streams-4__send-1024KiB__recv-default","4","1024","default","1,419388","12103,71","1,420588","12093,49","1048576","65536","65536","65536"
"64","4","streams-4__send-default__recv-256KiB","4","default","256","1,314996","13064,58","1,316191","13052,72","65536","65536","65536","262144"
"65","5","streams-4__send-1024KiB__recv-1024KiB","4","1024","1024","0,774519","22181,33","0,775715","22147,13","1048576","65536","65536","1048576"
"66","5","streams-4__send-default__recv-256KiB","4","default","256","1,233177","13931,39","1,234369","13917,93","65536","65536","65536","262144"
"67","5","streams-4__send-default__recv-1024KiB","4","default","1024","0,745519","23044,18","0,746737","23006,57","65536","65536","65536","1048576"
"68","5","streams-4__send-256KiB__recv-default","4","256","default","1,408141","12200,39","1,409464","12188,94","262144","65536","65536","65536"
"69","5","streams-4__send-4096KiB__recv-default","4","4096","default","1,353945","12688,75","1,355158","12677,39","4194304","65536","65536","65536"
"70","5","streams-4__send-4096KiB__recv-1024KiB","4","4096","1024","0,722058","23792,92","0,723282","23752,67","4194304","65536","65536","1048576"
"71","5","streams-4__send-256KiB__recv-256KiB","4","256","256","1,327743","12939,15","1,328938","12927,51","262144","65536","65536","262144"
"72","5","streams-4__send-1024KiB__recv-4096KiB","4","1024","4096","0,954182","18004,82","0,955364","17982,54","1048576","65536","65536","4194304"
"73","5","streams-4__send-4096KiB__recv-256KiB","4","4096","256","1,492983","11507,08","1,494267","11497,19","4194304","65536","65536","262144"
"74","5","streams-4__send-4096KiB__recv-4096KiB","4","4096","4096","0,797972","21529,4","0,799537","21487,26","4194304","65536","65536","4194304"
"75","5","streams-4__send-256KiB__recv-1024KiB","4","256","1024","0,813671","21114,02","0,814887","21082,5","262144","65536","65536","1048576"
"76","5","streams-4__send-1024KiB__recv-256KiB","4","1024","256","1,172706","14649,77","1,173949","14634,26","1048576","65536","65536","262144"
"77","5","streams-4__send-1024KiB__recv-default","4","1024","default","1,427509","12034,86","1,428717","12024,68","1048576","65536","65536","65536"
"78","5","streams-4__send-default__recv-default","4","default","default","1,377994","12467,31","1,379185","12456,54","65536","65536","65536","65536"
"79","5","streams-4__send-default__recv-4096KiB","4","default","4096","0,742674","23132,44","0,744019","23090,64","65536","65536","65536","4194304"
"80","5","streams-4__send-256KiB__recv-4096KiB","4","256","4096","0,956855","17954,52","0,958082","17931,52","262144","65536","65536","4194304"
"81","6","streams-4__send-256KiB__recv-4096KiB","4","256","4096","0,732941","23439,65","0,734168","23400,45","262144","65536","65536","4194304"
"82","6","streams-4__send-1024KiB__recv-4096KiB","4","1024","4096","0,814432","21094,29","0,81564","21063,06","1048576","65536","65536","4194304"
"83","6","streams-4__send-1024KiB__recv-256KiB","4","1024","256","1,143625","15022,29","1,14484","15006,35","1048576","65536","65536","262144"
"84","6","streams-4__send-default__recv-256KiB","4","default","256","1,276388","13459,76","1,277614","13446,84","65536","65536","65536","262144"
"85","6","streams-4__send-4096KiB__recv-default","4","4096","default","1,516748","11326,78","1,51813","11316,46","4194304","65536","65536","65536"
"86","6","streams-4__send-4096KiB__recv-1024KiB","4","4096","1024","0,93875","18300,79","0,940091","18274,68","4194304","65536","65536","1048576"
"87","6","streams-4__send-1024KiB__recv-1024KiB","4","1024","1024","0,752382","22833,96","0,75355","22798,58","1048576","65536","65536","1048576"
"88","6","streams-4__send-256KiB__recv-default","4","256","default","1,396994","12297,74","1,398199","12287,14","262144","65536","65536","65536"
"89","6","streams-4__send-default__recv-4096KiB","4","default","4096","0,750379","22894,93","0,751565","22858,78","65536","65536","65536","4194304"
"90","6","streams-4__send-4096KiB__recv-4096KiB","4","4096","4096","0,754935","22756,75","0,756123","22721","4194304","65536","65536","4194304"
"91","6","streams-4__send-256KiB__recv-1024KiB","4","256","1024","0,725291","23686,85","0,726782","23638,27","262144","65536","65536","1048576"
"92","6","streams-4__send-1024KiB__recv-default","4","1024","default","1,266089","13569,25","1,267415","13555,05","1048576","65536","65536","65536"
"93","6","streams-4__send-4096KiB__recv-256KiB","4","4096","256","1,546393","11109,64","1,5476","11100,98","4194304","65536","65536","262144"
"94","6","streams-4__send-default__recv-default","4","default","default","1,578661","10882,56","1,579875","10874,2","65536","65536","65536","65536"
"95","6","streams-4__send-default__recv-1024KiB","4","default","1024","0,747006","22998,31","0,748289","22958,88","65536","65536","65536","1048576"
"96","6","streams-4__send-256KiB__recv-256KiB","4","256","256","1,101902","15591,1","1,103102","15574,14","262144","65536","65536","262144"
"97","7","streams-4__send-1024KiB__recv-1024KiB","4","1024","1024","0,737587","23291,99","0,738792","23253,98","1048576","65536","65536","1048576"
"98","7","streams-4__send-4096KiB__recv-1024KiB","4","4096","1024","0,791915","21694,08","0,793122","21661,06","4194304","65536","65536","1048576"
"99","7","streams-4__send-1024KiB__recv-4096KiB","4","1024","4096","0,744263","23083,07","0,745467","23045,78","1048576","65536","65536","4194304"
"100","7","streams-4__send-default__recv-256KiB","4","default","256","1,148202","14962,41","1,149592","14944,32","65536","65536","65536","262144"
"101","7","streams-4__send-256KiB__recv-256KiB","4","256","256","1,313153","13082,92","1,314353","13070,97","262144","65536","65536","262144"
"102","7","streams-4__send-4096KiB__recv-default","4","4096","default","1,692348","10151,5","1,693585","10144,08","4194304","65536","65536","65536"
"103","7","streams-4__send-256KiB__recv-1024KiB","4","256","1024","0,752444","22832,08","0,753974","22785,76","262144","65536","65536","1048576"
"104","7","streams-4__send-default__recv-4096KiB","4","default","4096","0,774955","22168,87","0,77616","22134,43","65536","65536","65536","4194304"
"105","7","streams-4__send-256KiB__recv-default","4","256","default","1,364281","12592,62","1,36553","12581,1","262144","65536","65536","65536"
"106","7","streams-4__send-256KiB__recv-4096KiB","4","256","4096","0,746244","23021,79","0,747693","22977,16","262144","65536","65536","4194304"
"107","7","streams-4__send-4096KiB__recv-4096KiB","4","4096","4096","0,747261","22990,46","0,748563","22950,47","4194304","65536","65536","4194304"
"108","7","streams-4__send-default__recv-default","4","default","default","1,391712","12344,41","1,392912","12333,78","65536","65536","65536","65536"
"109","7","streams-4__send-default__recv-1024KiB","4","default","1024","0,721776","23802,23","0,723012","23761,54","65536","65536","65536","1048576"
"110","7","streams-4__send-1024KiB__recv-256KiB","4","1024","256","1,100297","15613,85","1,101514","15596,59","1048576","65536","65536","262144"
"111","7","streams-4__send-4096KiB__recv-256KiB","4","4096","256","1,246715","13780,11","1,247912","13766,89","4194304","65536","65536","262144"
"112","7","streams-4__send-1024KiB__recv-default","4","1024","default","1,316269","13051,95","1,317486","13039,89","1048576","65536","65536","65536"
"113","8","streams-4__send-default__recv-default","4","default","default","1,162503","14778,34","1,163708","14763,04","65536","65536","65536","65536"
"114","8","streams-4__send-256KiB__recv-256KiB","4","256","256","1,101002","15603,85","1,102278","15585,78","262144","65536","65536","262144"
"115","8","streams-4__send-4096KiB__recv-1024KiB","4","4096","1024","0,724223","23721,79","0,72543","23682,32","4194304","65536","65536","1048576"
"116","8","streams-4__send-256KiB__recv-4096KiB","4","256","4096","0,834082","20597,34","0,835576","20560,51","262144","65536","65536","4194304"
"117","8","streams-4__send-256KiB__recv-default","4","256","default","1,245943","13788,64","1,247143","13775,39","262144","65536","65536","65536"
"118","8","streams-4__send-default__recv-1024KiB","4","default","1024","0,724152","23724,1","0,725372","23684,21","65536","65536","65536","1048576"
"119","8","streams-4__send-default__recv-256KiB","4","default","256","1,101061","15603,01","1,10227","15585,9","65536","65536","65536","262144"
"120","8","streams-4__send-4096KiB__recv-256KiB","4","4096","256","1,33631","12856,2","1,337608","12843,73","4194304","65536","65536","262144"
"121","8","streams-4__send-1024KiB__recv-256KiB","4","1024","256","1,11415","15419,71","1,115354","15403,07","1048576","65536","65536","262144"
"122","8","streams-4__send-1024KiB__recv-4096KiB","4","1024","4096","0,763311","22507,03","0,764722","22465,51","1048576","65536","65536","4194304"
"123","8","streams-4__send-1024KiB__recv-1024KiB","4","1024","1024","0,725561","23678,07","0,726761","23638,95","1048576","65536","65536","1048576"
"124","8","streams-4__send-4096KiB__recv-default","4","4096","default","1,297942","13236,24","1,299164","13223,79","4194304","65536","65536","65536"
"125","8","streams-4__send-default__recv-4096KiB","4","default","4096","0,72185","23799,76","0,723041","23760,57","65536","65536","65536","4194304"
"126","8","streams-4__send-4096KiB__recv-4096KiB","4","4096","4096","0,724189","23722,9","0,725396","23683,43","4194304","65536","65536","4194304"
"127","8","streams-4__send-256KiB__recv-1024KiB","4","256","1024","0,741004","23184,6","0,742221","23146,55","262144","65536","65536","1048576"
"128","8","streams-4__send-1024KiB__recv-default","4","1024","default","1,254587","13693,64","1,255796","13680,46","1048576","65536","65536","65536"
"129","9","streams-4__send-1024KiB__recv-256KiB","4","1024","256","1,138165","15094,36","1,13937","15078,39","1048576","65536","65536","262144"
"130","9","streams-4__send-default__recv-1024KiB","4","default","1024","0,738159","23273,93","0,739424","23234,13","65536","65536","65536","1048576"
"131","9","streams-4__send-4096KiB__recv-default","4","4096","default","1,422795","12074,73","1,424","12064,51","4194304","65536","65536","65536"
"132","9","streams-4__send-256KiB__recv-4096KiB","4","256","4096","0,769398","22328,97","0,770648","22292,76","262144","65536","65536","4194304"
"133","9","streams-4__send-default__recv-4096KiB","4","default","4096","0,749538","22920,6","0,750746","22883,73","65536","65536","65536","4194304"
"134","9","streams-4__send-256KiB__recv-1024KiB","4","256","1024","0,739211","23240,83","0,740652","23195,6","262144","65536","65536","1048576"
"135","9","streams-4__send-default__recv-256KiB","4","default","256","1,234583","13915,52","1,235783","13902,02","65536","65536","65536","262144"
"136","9","streams-4__send-default__recv-default","4","default","default","1,545531","11115,84","1,546738","11107,16","65536","65536","65536","65536"
"137","9","streams-4__send-4096KiB__recv-4096KiB","4","4096","4096","0,826099","20796,38","0,827316","20765,79","4194304","65536","65536","4194304"
"138","9","streams-4__send-1024KiB__recv-default","4","1024","default","1,431253","12003,38","1,43244","11993,43","1048576","65536","65536","65536"
"139","9","streams-4__send-256KiB__recv-256KiB","4","256","256","1,185589","14490,57","1,186997","14473,39","262144","65536","65536","262144"
"140","9","streams-4__send-4096KiB__recv-256KiB","4","4096","256","1,431066","12004,94","1,432278","11994,79","4194304","65536","65536","262144"
"141","9","streams-4__send-1024KiB__recv-1024KiB","4","1024","1024","0,760199","22599,16","0,761388","22563,87","1048576","65536","65536","1048576"
"142","9","streams-4__send-4096KiB__recv-1024KiB","4","4096","1024","0,761519","22560","0,762835","22521,08","4194304","65536","65536","1048576"
"143","9","streams-4__send-256KiB__recv-default","4","256","default","1,361662","12616,84","1,363009","12604,36","262144","65536","65536","65536"
"144","9","streams-4__send-1024KiB__recv-4096KiB","4","1024","4096","0,762327","22536,08","0,763723","22494,89","1048576","65536","65536","4194304"
"145","10","streams-4__send-default__recv-256KiB","4","default","256","1,266941","13560,12","1,268621","13542,16","65536","65536","65536","262144"
"146","10","streams-4__send-1024KiB__recv-1024KiB","4","1024","1024","0,717086","23957,89","0,718287","23917,84","1048576","65536","65536","1048576"
"147","10","streams-4__send-256KiB__recv-256KiB","4","256","256","1,111254","15459,9","1,112855","15437,66","262144","65536","65536","262144"
"148","10","streams-4__send-4096KiB__recv-256KiB","4","4096","256","1,425519","12051,66","1,426726","12041,46","4194304","65536","65536","262144"
"149","10","streams-4__send-default__recv-4096KiB","4","default","4096","0,719448","23879,22","0,72066","23839,08","65536","65536","65536","4194304"
"150","10","streams-4__send-default__recv-1024KiB","4","default","1024","0,722809","23768,19","0,724024","23728,31","65536","65536","65536","1048576"
"151","10","streams-4__send-4096KiB__recv-4096KiB","4","4096","4096","0,73043","23520,22","0,731646","23481,13","4194304","65536","65536","4194304"
"152","10","streams-4__send-1024KiB__recv-256KiB","4","1024","256","1,087878","15792,09","1,089586","15767,33","1048576","65536","65536","262144"
"153","10","streams-4__send-1024KiB__recv-4096KiB","4","1024","4096","0,723357","23750,2","0,72457","23710,44","1048576","65536","65536","4194304"
"154","10","streams-4__send-4096KiB__recv-default","4","4096","default","1,32743","12942,2","1,328608","12930,73","4194304","65536","65536","65536"
"155","10","streams-4__send-256KiB__recv-4096KiB","4","256","4096","0,728077","23596,22","0,729274","23557,48","262144","65536","65536","4194304"
"156","10","streams-4__send-256KiB__recv-default","4","256","default","1,335427","12864,7","1,336633","12853,09","262144","65536","65536","65536"
"157","10","streams-4__send-default__recv-default","4","default","default","1,258841","13647,37","1,260061","13634,16","65536","65536","65536","65536"
"158","10","streams-4__send-1024KiB__recv-default","4","1024","default","1,269258","13535,36","1,270457","13522,59","1048576","65536","65536","65536"
"159","10","streams-4__send-4096KiB__recv-1024KiB","4","4096","1024","0,772204","22247,84","0,773442","22212,22","4194304","65536","65536","1048576"
"160","10","streams-4__send-256KiB__recv-1024KiB","4","256","1024","0,766041","22426,82","0,767241","22391,75","262144","65536","65536","1048576"
